Rang;Type de document;Nombre de recherches;Titre;Auteur
249;Livre adulte;56;Oeuvres complètes. 2 [Texte imprimé];Molière
250;Livre adulte;56;Jane Eyre [Texte imprimé];Brontë, Charlotte
251;Livre adulte;56;Code de la route Rousseau [Texte imprimé] : [2009];
252;Livre adulte;56;L'avenir de l'eau. 2 [Texte imprimé] : petit précis de mondialisation;Orsenna, Erik
253;Livre adulte;56;Le tailleur de pierre;Läckberg, Camilla
254;Bande dessinée adulte;56;Polina;Vivès, Bastien
255;Livre adulte;56;Portugal : avec Madère et Açores;
256;Nouveauté;56;L'armée furieuse;Vargas, Fred
257;Nouveauté;56;Les souvenirs;Foenkinos, David
258;;56;Ulysse;Pommaux, Yvan
259;Nouveauté;56;Le Chinois;Mankell, Henning
260;DVD tous publics;56;Une séparation [Images animées];
261;;56;Ce qu'il advint du sauvage blanc : roman;Garde, François
262;Livre jeunesse;55;L'histoire d'Helen Keller [Texte imprimé];Hickok, Lorena A.
263;Livre jeunesse;55;Le sort du Titan [Texte imprimé];Riordan, Rick
264;Nouveauté;55;Sukkwan island : roman;Vann, David
265;Livre adulte;55;La bataille du labyrinthe;Riordan, Rick
266;Nouveauté;55;La treizième colonie;Sardou, Romain
267;Livre ado;55;Les héritiers d'Enkidiev. 1. Renaissance;Robillard, Anne
268;DVD tous publics;55;Pater [Images animées];
269;;55;Miséricorde;Adler-Olsen, Jussi
270;Livre en gros caractères;55;Rien ne s'oppose à la nuit : roman;Vigan, Delphine de
271;DVD tous publics;55;Les aventures de Tintin - Le secret de la Licorne [Images animées];
272;Bande dessinée adulte;55;Olympe de Gouges;Catel
273;Livre jeunesse;54;Rodrick fait sa loi [Texte imprimé];Kinney, Jeff
274;DVD tous publics;54;Alvin et les Chipmunks [images animées];
275;Nouveauté;54;Deux petits pas sur le sable mouillé : témoignage;Julliand, Anne-Dauphine
276;;54;La page blanche;Boulet
277;Livre adulte;54;L'attente de l'aube;Boyd, William
278;Livre adulte;53;Théatre complet [Texte imprimé];Musset, Alfred de
279;Bande dessinée adulte;53;Les gouttes de Dieu. 1 [Texte imprimé];Agi, Tadashi
280;Livre adulte;53;A l'ouest rien de nouveau [Texte imprimé];Remarque, Erich Maria
281;Revue adulte;53;Le Point [texte imprimé];
282;Livre adulte;53;TOEFL, TOEIC, IELTS : réussir l'épreuve essay;Diehl, Christel
283;DVD tous publics;53;Twilight. Chapitre 2,. tentation [images animées];
284;Livre adulte;53;Indonésie;
285;Livre adulte;53;Bibliothécaire adjoint spécialisé, BAS : catégorie B;Caron, Valérie
286;Livre adulte;53;Thaïlande : 2012 : + plongées;Gloaguen, Philippe
287;;53;Intégrale studio [enregistrement sonore] : 1962-2010;Mitchell, Eddy
288;Nouveauté;53;La muraille de lave;Arnaldur Indridason
289;Livre jeunesse;53;Inconnu à cette adresse [Texte imprimé];Taylor, Kathrine Kressmann
290;Livre adulte;52;La promesse de l'aube [Texte imprimé];Gary, Romain
291;Livre jeunesse;52;Le royaume de Kensuké [Texte imprimé];Morpurgo, Michael
292;Livre adulte;52;Le coeur cousu [Texte imprimé];Martinez, Carole
